video_id,country,category,days_trending,best_rank,peak_views,peak_likes
-qIa7N3BgaA,GB,Other,1,20,367734,11192
-qIa7N3BgaA,US,Other,1,35,387051,11457
-q_S27LbNKU,IE,Other,17,25,23488524,643404
-q_S27LbNKU,US,Other,1,42,10777315,335143
-rkjE0xc730,GB,Music,3,1,2980071,217973
-rkjE0xc730,IE,Music,21,4,5518386,258149
-rkjE0xc730,US,Music,2,4,2424889,202875
-sTZBuwn7lA,IN,Movie/TV Trailer,2,43,83358,1722
-swgjnYWt4g,GB,Gaming,1,42,887316,54007
-swgjnYWt4g,IE,Gaming,2,12,1100657,61265
-swgjnYWt4g,US,Gaming,2,6,898203,54323
-t3Nw6Z0yd4,GB,Movie/TV Trailer,2,8,27456,237
-u9TRlZADmg,GB,Other,1,40,80773,5759
-uFLzvL-Zog,US,Other,1,34,0,0
-uhc55_j98M,IN,Gaming,1,22,1087865,13286
-uvNvVtUidc,US,Music,1,43,937481,41746
-vTYZp83veY,US,Other,1,44,0,0
-w1b2aJJxgc,GB,Other,1,38,839419,20358
-wRnDlwAd5U,IN,Gaming,2,25,301060,949
-wrCD61Fozo,US,Music,1,31,273831,1010
-wxXJiOUMBY,GB,Other,1,11,353646,28757
-x0cY5LiBZA,GB,Movie/TV Trailer,1,29,49515,988
-x0cY5LiBZA,US,Movie/TV Trailer,1,41,52197,1032
-xB_Nnm7CHU,IN,Other,2,18,399311,9387
-xFTZNzCS2o,GB,Other,1,16,12376,640
-xSxaE1ClEE,IE,Movie/TV Trailer,1,43,576611,3083
-xSxaE1ClEE,US,Movie/TV Trailer,1,31,580400,3129
-xY5v4sP1Ow,GB,Gaming,1,48,619446,10193
-yQJffgGgSI,IN,Sports,2,6,954646,14058
-yTRneGSEBA,IN,Other,1,37,81704,388
-z5DVwZiFPM,US,Other,1,47,38389,2670
0-B59JegAws,US,Music,1,47,43574,353
0-gTGDefZUs,IN,Other,1,36,53618,4713
00BNybmsQvo,GB,Reaction,2,20,137852,7966
00BNybmsQvo,IE,Reaction,6,41,169630,9063
00BNybmsQvo,US,Reaction,2,29,138657,7988
00hw57ZJQk4,US,Other,2,6,1067795,39059
012g-P4IqG8,GB,Other,1,36,378258,7981
012g-P4IqG8,US,Other,1,47,385444,8040
01R0Hmco_9A,US,Other,1,48,0,0
01hi4G_lkQY,GB,Reaction,1,32,57219,3886
01hi4G_lkQY,US,Reaction,1,44,58365,3920
02-RDIZ5Rdw,GB,Movie/TV Trailer,1,41,505348,7663
02-RDIZ5Rdw,US,Movie/TV Trailer,1,43,550475,7719
03IEn9GQNM0,US,Other,1,31,171019,11219
03JBxednt3g,IN,Sports,1,29,385646,13168
03xYwx8D8os,GB,Gaming,1,49,172069,6686
04-vHqEFTXI,US,Other,1,42,0,0
05EqxrceoTM,IN,Other,1,17,854680,45549
05vM0OQTc3I,US,Other,1,48,244620,9275
075LcdYQytk,GB,Movie/TV Trailer,1,49,16584,808
078J2Aa4gP8,US,Other,1,6,0,0
07OxIAvsXQ4,US,Other,1,23,25643,3549
07h9Y1XKBWI,GB,Movie/TV Trailer,2,2,4326467,112977
07h9Y1XKBWI,IE,Movie/TV Trailer,20,5,6852323,133641
07h9Y1XKBWI,IN,Movie/TV Trailer,3,2,4896953,118311
07h9Y1XKBWI,US,Movie/TV Trailer,1,11,3368632,99083
08ZAZSbM3EA,GB,Movie/TV Trailer,1,23,53620,3058
08ZAZSbM3EA,US,Movie/TV Trailer,1,20,54678,3087
08watG5l20M,GB,Music,1,34,99779,12309
098m8TLTb4Y,US,Other,4,4,260305,8931
09sFFEJ6tl4,GB,Movie/TV Trailer,1,17,48575,2418
0AGBP87_8GQ,IN,Gaming,1,38,241966,1459
0AXK1BSkVug,GB,Other,1,39,37418,1102
0Adj4HPIUXw,GB,Sports,1,18,152024,3705
0Adj4HPIUXw,IE,Sports,2,27,245808,4724
0AsfMdywXug,GB,Movie/TV Trailer,1,14,210738,12111
0B7WBA1r6gg,US,Other,1,15,0,0
0Cr65UlucIU,IN,Other,1,42,75405,255
0DAKXYC53sQ,GB,Reaction,1,20,44362,3036
0DAKXYC53sQ,US,Reaction,1,38,45693,3092
0DBqNXiu6Ik,IN,Movie/TV Trailer,2,28,519208,3215
0DTrjpIb4QI,GB,Other,2,1,149529,17579
0DTrjpIb4QI,IE,Other,2,40,149579,17586
0DTrjpIb4QI,US,Other,1,49,93341,14551
0Dr8I_RyRCg,IE,Movie/TV Trailer,2,26,765238,27975
0Dr8I_RyRCg,US,Movie/TV Trailer,1,5,531163,22050
0EAEdIxedlk,GB,Other,1,27,216344,9782
0EAEdIxedlk,IE,Other,1,42,219721,9850
0EAEdIxedlk,US,Other,2,6,530945,17171
0Et62HWoy7E,IN,Other,2,3,424651,9063
0Fp2kxfrm2w,IN,Music,2,15,319761,1221
0GnA8VYOfko,US,Other,1,33,2429115,90516
0GqW4qjeW-8,GB,Reaction,1,17,54681,2658
0HuNrqxlnPs,IN,Gaming,1,17,1851177,5761
0JlMjgqduVw,GB,Movie/TV Trailer,3,2,7747388,73474
0JlMjgqduVw,IE,Movie/TV Trailer,18,2,18705923,95361
0JlMjgqduVw,IN,Movie/TV Trailer,4,8,17600438,80051
0JlMjgqduVw,US,Movie/TV Trailer,3,2,7958595,73766
0KYJPoGJcMc,IN,Other,4,1,3517774,20815
0LIdlmPmH4A,GB,Other,2,31,466869,42165
0LRV20a3Kwg,IN,Other,2,42,208209,606
0MxBFXH2a_U,GB,Movie/TV Trailer,2,2,620295,48688
0MxBFXH2a_U,IE,Movie/TV Trailer,2,32,621160,48699
0MxBFXH2a_U,US,Movie/TV Trailer,2,5,623800,48785
0NWHhWdkqEM,GB,Movie/TV Trailer,1,47,44413,1282
0OpiEVwuWTY,IN,Other,1,34,84865,1269
0Oqgl4gIll0,US,Gaming,1,23,229351,12093
0OsSVrsWems,GB,Gaming,1,42,473906,18667
0OsSVrsWems,US,Gaming,1,27,482983,18929
0P-R4aHRW0s,GB,Gaming,1,23,295328,5498
0PBuQCe4bkQ,US,Other,1,16,210768,19694
0PGskY4fjU8,IN,Other,2,18,1185740,85750
0PVLyBYNFj4,GB,Music,1,22,133431,11307
0PVWLsYHvZo,IN,Other,1,48,117886,3304
0PXEYzjZWlQ,IN,Other,1,33,334697,2965
0Pj_6gt3uC8,GB,Movie/TV Trailer,1,41,36571,3072
0Pjc3lSgYI8,US,Other,1,38,151820,8722
0Q4v7IKWO_E,US,Movie/TV Trailer,1,40,602223,13404
0RMN4t71MPA,IN,Movie/TV Trailer,2,17,772188,16189
0RpDPIOiJT4,US,Other,1,41,97585,6605
0Rt4ubsEn8c,GB,Movie/TV Trailer,1,25,87051,12560
0Rt4ubsEn8c,US,Movie/TV Trailer,1,16,90112,12820
0RxUcKE13ZI,IN,Other,4,1,8986844,164299
0S5PQ0SpV8Q,IN,Other,1,45,644264,23377
0SL_AZSrxw0,GB,Movie/TV Trailer,1,47,21951,1126
0TFEksyLWu4,GB,Music,1,28,30347,4221
0ToUafpbEKM,GB,Other,1,41,399569,31312
0ToUafpbEKM,US,Other,1,20,411169,31699
0TvIHeS0mpw,GB,Reaction,1,8,67147,5575
0TvIHeS0mpw,US,Reaction,2,8,101076,7182
0TySRKsgK-Q,IN,Gaming,1,21,1011165,3437
0U2iYQ_i0_I,US,Music,2,19,211785,18160
0UIGCG99F3Y,US,Other,1,39,0,0
0VqlRaK9f7M,GB,Other,1,48,404669,13172
0VufauIk2yo,US,Music,1,31,59651,7432
0WMX-j5WIHw,IN,Movie/TV Trailer,3,19,318620,1960
0WlruQq-h9E,US,Other,1,26,159777,9289
0YW75xy66dY,GB,Other,1,15,426600,22088
0YW75xy66dY,IE,Other,2,39,729295,28597
0YW75xy66dY,US,Other,1,28,442714,22415
0YtPdtyP_7Y,US,Other,1,36,221529,17971
0ZShLKjPF_8,GB,Other,1,46,234003,4093
0ZShLKjPF_8,US,Other,1,44,242051,4181
0_OqGHPMvBE,US,Other,1,44,445798,17127
0_i9a3tNDqo,GB,Other,1,18,154551,11022
0aIQ4hXe20U,GB,Sports,1,18,145443,3447
0aIQ4hXe20U,IE,Sports,3,18,246178,4841
0aif_nter64,GB,Movie/TV Trailer,1,20,96189,379
0arQVg7DxRU,US,Other,7,21,33151,971
0b98h0tr7N4,US,Other,1,39,0,0
0b9xVo-gQYA,GB,Music,2,16,2264790,25708
0b9xVo-gQYA,IN,Music,3,10,2673950,28783
0bViIqTNLDs,US,Other,1,33,0,0
0bcCvEjaxRM,US,Sports,1,29,233136,8101
0bpXFeEkAoM,US,Movie/TV Trailer,1,50,78377,15126
0d4nirTymmg,GB,Movie/TV Trailer,2,5,21796963,150355
0d4nirTymmg,IE,Movie/TV Trailer,2,44,21901217,150430
0d4nirTymmg,IN,Movie/TV Trailer,7,2,31401140,196681
0d4nirTymmg,US,Movie/TV Trailer,2,8,22251263,150938
0e6a0RFP69I,GB,Gaming,1,10,60582,9671
0e6a0RFP69I,US,Gaming,1,10,62610,9805
0fpTI9MJLuE,GB,Gaming,1,42,195971,7384
0fpTI9MJLuE,US,Gaming,1,45,207462,7639
0gEOlHommWQ,IN,Gaming,1,15,386967,4274
0gEOlHommWQ,IN,Gaming,1,33,875606,7109
0hhsgXT9MT0,GB,Music,1,24,181684,847
0iTNen9sIec,IN,Gaming,3,6,2084465,44951
