feature,importance
country_IE,0.3018708693990725
peak_views,0.3001667831943733
best_rank,0.21555932406339245
peak_likes,0.10993604357665697
category_Music,0.021770755527197167
category_Movie/TV Trailer,0.01756561769828871
country_IN,0.014900934636415591
category_Other,0.006421211801009316
category_Gaming,0.004159146951717723
country_US,0.0033810826282031753
category_Sports,0.0027409173424136368
category_Reaction,0.0014288279637796897
category_News,9.848521747960986e-05
